track_id,track_name,track_artist,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,energy,tempo,danceability,loudness,liveness,valence,speechiness,acousticness,instrumentalness,track_popularity,duration_ms,mode,key,time_signature,release_year,release_month,release_quarter,playlist_specified_genre
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-01,pop,mainstream,0.592,157.969,0.521,-7.777,0.122,0.535,0.0304,0.308,0.0,100,251668,0,6,3,2024,8,3,pop_mainstream
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-01,pop,mainstream,0.507,104.978,0.747,-10.171,0.117,0.438,0.0358,0.2,0.0608,97,210373,1,2,4,2024,5,2,pop_mainstream
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-01,pop,mainstream,0.808,108.548,0.554,-4.169,0.159,0.372,0.0368,0.214,0.0,93,166300,1,1,4,2024,10,4,pop_mainstream
1d7Ptw3qYcfpdLNL5REhtJ,Taste,Sabrina Carpenter,Short n' Sweet,2024-08-01,pop,mainstream,0.91,112.966,0.67,-4.07,0.304,0.786,0.0634,0.0939,0.0,81,157280,0,0,4,2024,8,3,pop_mainstream
5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",APT.,2024-10-01,pop,mainstream,0.783,149.027,0.777,-4.477,0.355,0.939,0.26,0.0283,0.0,98,169917,0,0,4,2024,10,4,pop_mainstream
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-01,pop,mainstream,0.582,116.712,0.7,-5.96,0.0881,0.785,0.0356,0.0502,0.0,94,218424,0,11,4,2024,4,2,pop_mainstream
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,Diet Pepsi,2024-08-01,pop,mainstream,0.561,150.069,0.669,-6.538,0.0954,0.841,0.0411,0.495,0.00962,88,169698,1,10,4,2024,8,3,pop_mainstream
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-01,pop,mainstream,0.247,148.101,0.467,-12.002,0.17,0.126,0.0431,0.612,0.000271,93,261467,0,6,4,2024,5,2,pop_mainstream
0UYnhUfnUj5adChuAXvLUB,Sailor Song,Gigi Perez,Sailor Song,2024-07-01,pop,mainstream,0.416,94.926,0.492,-10.439,0.203,0.297,0.0254,0.686,8.61e-05,71,211979,1,11,4,2024,7,3,pop_mainstream
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,2024-09-01,hip-hop,mainstream,0.722,119.973,0.769,-5.485,0.111,0.57,0.0507,0.0584,2.56e-06,92,256000,0,11,4,2024,9,3,hip-hop_mainstream
3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,"Charli xcx, Billie Eilish",Guess featuring Billie Eilish,2024-08-01,gaming,mainstream,0.667,130.019,0.776,-6.622,0.0761,0.618,0.0983,0.0146,0.3,85,145219,1,7,4,2024,8,3,gaming_mainstream
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-01,gaming,mainstream,0.586,107.071,0.669,-6.073,0.104,0.579,0.054,0.274,0.0,88,186365,1,9,4,2024,6,2,gaming_mainstream
1f18HzFpegqvH4ibGJyeMJ,2 hands,Tate McRae,2 hands,2024-11-01,pop,mainstream,0.806,104.032,0.608,-3.443,0.191,0.587,0.0486,0.121,0.0,79,181821,1,1,4,2024,11,4,pop_mainstream
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-01,gaming,mainstream,0.709,81.012,0.722,-4.95,0.0804,0.604,0.0273,0.0633,0.0,86,171292,1,9,4,2024,4,2,gaming_mainstream
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-01,gaming,mainstream,0.757,139.982,0.742,-4.981,0.305,0.957,0.0421,0.0187,0.0,88,184841,1,6,4,2023,9,3,gaming_mainstream
19KlZwqlT3fguP2BeHF1Q1,Disease,Lady Gaga,Disease,2024-10-01,pop,mainstream,0.917,100.987,0.562,-2.768,0.488,0.501,0.117,0.0513,0.0,86,229997,0,11,4,2024,10,4,pop_mainstream
5G345YEhvleYxQLfYUlEFv,Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),2024-10-01,pop,mainstream,0.787,109.939,0.734,-3.951,0.312,0.672,0.116,0.126,0.0,82,155757,0,5,4,2024,10,4,pop_mainstream
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,Love Somebody,2024-10-01,pop,mainstream,0.843,122.064,0.619,-5.348,0.164,0.746,0.0284,0.00948,0.000118,86,204829,0,5,4,2024,10,4,pop_mainstream
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,2024-06-01,pop,mainstream,0.406,115.94,0.53,-7.507,0.133,0.338,0.033,0.656,0.0,90,157147,1,10,3,2024,6,2,pop_mainstream
1BJJbSX6muJVF2AK7uH1x4,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,2024-06-01,gaming,mainstream,0.782,119.992,0.727,-8.529,0.225,0.655,0.042,0.0563,0.336,86,177599,0,8,4,2024,6,2,gaming_mainstream
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler TheCreator|, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,2024-10-01,pop,mainstream,0.812,80.09,0.505,-3.986,0.444,0.664,0.461,0.285,0.0,88,255916,1,1,4,2024,10,4,pop_mainstream
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Espresso,2024-04-01,gaming,mainstream,0.76,103.969,0.701,-5.478,0.185,0.69,0.0285,0.107,6.54e-05,90,175459,1,0,4,2024,4,2,gaming_mainstream
